,team,wpct,qbnum
0,ARI,0.45,2
1,ATL,0.43137254901960786,3
2,BUF,0.3618421052631579,3
3,CHI,0.5512820512820513,4
4,CIN,0.49019607843137253,2
5,CLE,0.4868421052631579,3
6,DAL,0.7005988023952096,3
7,DEN,0.6153846153846154,4
8,DET,0.4139072847682119,4
9,GB,0.44039735099337746,2
10,IND,0.3741721854304636,4
11,KC,0.38926174496644295,3
12,LAC,0.5448717948717948,2
13,LAR,0.5920245398773006,4
14,MIA,0.6635802469135802,3
15,MIN,0.5,3
16,NE,0.5641025641025641,3
17,NO,0.3422818791946309,5
18,NYG,0.4032258064516129,4
19,NYJ,0.4512987012987013,5
20,OAK,0.696969696969697,3
21,PHI,0.483974358974359,2
22,PIT,0.6296296296296297,3
23,SEA,0.461038961038961,2
24,SF,0.5126582278481012,3
25,TB,0.3104575163398693,5
26,TEN,0.42948717948717946,5
27,WSH,0.6329113924050633,2
