,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,62,19,1
7,LAC,Clippers,W,4,52,29,1
6,HOU,Rockets,W,3,51,30,1
23,UTA,Jazz,W,5,50,32,0
21,OKL,Thunder,W,6,46,36,0
5,DEN,Nuggets,W,9,41,39,2
18,POR,Trail Blazers,W,8,41,40,1
24,MEM,Grizzlies,W,7,41,41,0
11,MIN,Timberwolves,W,13,34,47,1
2,NOP,Pelicans,W,10,33,48,1
4,DAL,Mavericks,W,11,33,48,1
19,SAC,Kings,W,12,31,50,1
8,LAL,Lakers,W,14,25,56,1
17,PHX,Suns,W,15,21,59,2
1,BOS,Celtics,E,1,52,29,1
28,CLE,Cavaliers,E,2,51,29,2
22,TOR,Raptors,E,3,50,29,3
25,WAS,Wizards,E,4,47,35,0
10,MIL,Bucks,E,6,42,39,1
15,IND,Pacers,E,7,42,39,1
9,MIA,Heat,E,9,41,38,3
0,ATL,Hawks,E,5,40,40,2
3,CHI,Bulls,E,8,40,38,4
27,CHA,Hornets,E,11,36,44,2
13,NYK,Knicks,E,12,35,46,1
26,DET,Pistons,E,10,35,44,3
14,ORL,Magic,E,13,29,52,1
16,PHI,76ers,E,14,24,57,1
12,BRO,Nets,E,15,18,61,3
